iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Official Irish Republican Army (OIRA),Firearms,1,1971-09-14,9
1980,France,WAAR,ONWAAR,Unknown,Private property,France,Basque Fatherland and Freedom (ETA),Unknown,,1980-02-07,2
1980,Spain,WAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-02-08,2
1980,Spain,WAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Unknown,1,1980-02-08,2
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-14,9
1980,Spain,WAAR,ONWAAR,Armed Assault,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,0,1980-02-08,2
1980,United Kingdom,WAAR,ONWAAR,Kidnapping,Private property,Great Britain,Irish Republican Army (IRA),Unknown,1,1980-02-08,2
1980,Spain,WAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Unknown,1,1980-02-10,2
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-14,9
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Fuerza Nueva,Firearms,1,1980-02-11,2
1980,United Kingdom,WAAR,ONWAAR,Explosion,Government,Northern Ireland,Irish Republican Army (IRA),Bombs,2,1980-02-11,2
1980,Italy,WAAR,ONWAAR,Assassination,Public services,Italy,Red Brigades,Firearms,1,1980-02-12,2
1980,Spain,ONWAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,0,1980-02-13,2
1980,United Kingdom,WAAR,ONWAAR,Assassination,Private property,Northern Ireland,Protestant Extremists,Firearms,1,1980-02-14,2
1980,United Kingdom,WAAR,ONWAAR,Facility Attack,Private property,Great Britain,Irish Republican Army (IRA),Incendiary,0,1980-02-15,2
1980,United Kingdom,ONWAAR,ONWAAR,Explosion,Private property,Great Britain,Irish Republican Army (IRA),Bombs,0,1980-02-15,2
1980,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Great Britain,Irish Republican Army (IRA),Bombs,0,1980-02-15,2
1980,United Kingdom,ONWAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,0,1980-02-15,2
1980,United Kingdom,WAAR,ONWAAR,Facility Attack,Private property,.,Lybyan-Backed Group against opponents of Qadaffi,Incendiary,0,1980-02-15,2
1971,United Kingdom,WAAR,ONWAAR,Assassination,Private property,Northern Ireland,Protestant Extremists,Firearms,1,1971-09-16,9
1980,Germany,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1980-02-16,2
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-02-16,2
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-16,9
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Germany,Armenian Secret Army for the Liberation of Armenia,Bombs,0,1980-02-18,2
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Israel,Armenian Secret Army for the Liberation of Armenia,Bombs,,1980-02-18,2
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Israel,Armenian Secret Army for the Liberation of Armenia,Bombs,0,1980-02-18,2
1980,Spain,WAAR,ONWAAR,Assassination,Government,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-02-20,2
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-17,9
1980,Spain,WAAR,ONWAAR,Explosion,Government,Spain,Basque Fatherland and Freedom (ETA),Bombs,0,1980-02-21,2
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Army (IRA),Firearms,1,1971-09-18,9
1971,Italy,WAAR,ONWAAR,Explosion,Public services,Israel,Unknown,Bombs,,1971-09-20,9
1980,Italy,WAAR,ONWAAR,Facility Attack,Public services,Italy,Left-Wing Terrorists,Incendiary,0,1980-02-28,2
1980,Italy,WAAR,ONWAAR,Facility Attack,Public services,Italy,Neo-Fascists,Incendiary,0,1980-02-28,2
1980,Italy,WAAR,ONWAAR,Explosion,Government,Italy,Workers' Organization for Communism,Bombs,0,1980-02-29,2
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Italy,Proletarian communist commandos,Bombs,0,1980-02-29,2
1980,United Kingdom,ONWAAR,ONWAAR,Assassination,Private property,Northern Ireland,Ulster Volunteer Force (UVF),Firearms,1,1980-02-29,2
1980,Italy,WAAR,ONWAAR,Explosion,Private property,Italy,Revolutionary Action Groups,Bombs,0,1980-03-01,3
1980,Italy,WAAR,ONWAAR,Explosion,Private property,Italy,Unknown,Bombs,0,1980-03-01,3
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Italy,Unknown,Bombs,,1980-03-01,3
1980,Italy,WAAR,ONWAAR,Explosion,Government,Italy,Unknown,Bombs,0,1980-03-01,3
1980,United Kingdom,WAAR,ONWAAR,Explosion,Public services,Northern Ireland,Irish Republican Army (IRA),Bombs,0,1980-03-01,3
1980,Germany,WAAR,ONWAAR,Armed Assault,Government,Great Britain,Irish Republican Army (IRA),Firearms,,1980-03-02,3
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Abu Nidal Organization (ANO),Firearms,1,1980-03-03,3
1971,Germany,WAAR,ONWAAR,Facility Attack,Government,Germany,Baader-Meinhof Group,Incendiary,,1971-09-23,9
1980,United Kingdom,WAAR,ONWAAR,Armed Assault,Government,Northern Ireland,Irish Republican Army (IRA),Firearms,1,1980-03-06,3
1980,Germany,WAAR,ONWAAR,Explosion,Government,Soviet Union,Afghans,Bombs,0,1980-03-07,3
1980,France,WAAR,ONWAAR,Explosion,Government,Tunisia,Unknown,Bombs,0,1980-03-07,3
1980,United Kingdom,WAAR,ONWAAR,Explosion,Government,Northern Ireland,Irish Republican Army (IRA),Bombs,0,1980-03-07,3
1980,United Kingdom,WAAR,ONWAAR,Facility Attack,Government,Great Britain,Irish National Liberation Army (INLA),Incendiary,0,1980-03-07,3
1980,United Kingdom,WAAR,ONWAAR,Explosion,Government,Great Britain,Irish Republican Army (IRA),Bombs,1,1980-03-07,3
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Italy,Territorial Anti-Fascist Patrols,Bombs,0,1980-03-08,3
1980,Spain,WAAR,ONWAAR,Explosion,Private property,Spain,Canary Islands Independence Movement,Bombs,0,1980-03-08,3
1980,Spain,ONWAAR,ONWAAR,Facility Attack,Public services,Spain,28 February Armed Group,Incendiary,0,1980-03-08,3
1980,Germany,WAAR,ONWAAR,Facility Attack,Private property,Germany,Left-Wing Guerrillas,Incendiary,0,1980-03-09,3
1980,Germany,WAAR,ONWAAR,Facility Attack,Public services,Germany,Left-Wing Guerrillas,Incendiary,0,1980-03-09,3
1980,Germany,WAAR,ONWAAR,Facility Attack,Private property,Germany,Left-Wing Guerrillas,Incendiary,0,1980-03-09,3
1980,Germany,WAAR,ONWAAR,Facility Attack,Private property,Germany,Left-Wing Guerrillas,Incendiary,0,1980-03-09,3
1980,France,WAAR,ONWAAR,Explosion,Public services,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Public services,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Public services,France,Corsican Separatists,Bombs,,1980-03-10,3
1970,Spain,ONWAAR,ONWAAR,Kidnapping,Government,Spain,1st of May Group,Unknown,0,1970-03-03,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-28,9
1980,France,WAAR,ONWAAR,Explosion,Public services,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1971,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Northern Ireland,Irish Republican Army (IRA),Bombs,2,1971-09-29,9
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,France,WAAR,ONWAAR,Explosion,Private property,France,Corsican Separatists,Bombs,,1980-03-10,3
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Italy,Armenian Secret Army for the Liberation of Armenia,Bombs,10,1980-03-10,3
1980,Germany,ONWAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,0,1980-03-10,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-09-30,9
1980,Italy,WAAR,ONWAAR,Armed Assault,Private property,Italy,Communist Territorial Nuclei,Firearms,0,1980-03-10,3
1980,Italy,WAAR,ONWAAR,Explosion,Public services,Italy,Armenian Secret Army for the Liberation of Armenia,Bombs,2,1980-03-10,3
1971,United Kingdom,ONWAAR,ONWAAR,Kidnapping,Government,Spain,1st of May Group,Unknown,0,,
1980,Spain,WAAR,ONWAAR,Explosion,Government,Spain,Basque Fatherland and Freedom (ETA),Bombs,0,1980-03-11,3
1980,Italy,ONWAAR,ONWAAR,Assassination,Hate crimes,Italy,Anti-Fascist Territorial Group,Firearms,,1980-03-11,3
1980,Germany,WAAR,ONWAAR,Armed Assault,Government,Great Britain,Irish Republican Army (IRA),Firearms,0,1980-03-11,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-10-01,10
1980,Italy,WAAR,ONWAAR,Assassination,Public services,Italy,Left-Wing Terrorists,Firearms,1,1980-03-12,3
1980,Italy,WAAR,ONWAAR,Assassination,Public services,Italy,Red Flying Squad,Firearms,1,1980-03-12,3
1971,United Kingdom,ONWAAR,ONWAAR,Explosion,Public services,Northern Ireland,Irish Republican Army (IRA),Bombs,1,1971-10-02,10
1980,Spain,WAAR,ONWAAR,Facility Attack,Government,Spain,Unknown,Incendiary,,1980-03-13,3
1980,Spain,WAAR,ONWAAR,Explosion,Public services,Spain,Unknown,Bombs,,1980-03-13,3
1980,Spain,WAAR,ONWAAR,Explosion,Government,Spain,Basque Fatherland and Freedom (ETA),Bombs,0,1980-03-13,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-10-03,10
1980,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Army (IRA),Firearms,1,1980-03-15,3
1971,United Kingdom,WAAR,ONWAAR,Explosion,Government,Great Britain,Official Irish Republican Army (OIRA),Bombs,1,1971-10-04,10
1980,France,WAAR,ONWAAR,Armed Assault,Government,France,Action Directe,Firearms,0,1980-03-18,3
1980,Italy,WAAR,ONWAAR,Assassination,Government,Italy,Unknown,Firearms,1,1980-03-19,3
1971,United Kingdom,WAAR,ONWAAR,Explosion,Private property,Northern Ireland,Ulster Volunteer Force (UVF),Bombs,1,1971-10-09,10
1980,Germany,WAAR,ONWAAR,Explosion,Government,Germany,Unknown,Bombs,0,1980-03-23,3
1980,United Kingdom,ONWAAR,ONWAAR,Explosion,Government,Northern Ireland,Irish Republican Army (IRA),Bombs,1,1980-03-23,3
1980,Italy,WAAR,ONWAAR,Assassination,Public services,Italy,Red Brigades,Firearms,0,1980-03-24,3
1980,United Kingdom,WAAR,ONWAAR,Facility Attack,Government,Italy,Red Brigades,Incendiary,0,1980-03-24,3
1980,Italy,WAAR,ONWAAR,Assassination,Government,Italy,Red Brigades,Firearms,3,1980-03-24,3
1980,Ireland,WAAR,ONWAAR,Explosion,Private property,Ireland,Irish Republican Army (IRA),Firearms,0,1980-03-25,3
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-03-25,3
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Basque Fatherland and Freedom (ETA),Firearms,1,1980-03-25,3
1980,France,ONWAAR,ONWAAR,Assassination,Government,France,Iparretarrak (IK),Bombs,2,1980-03-26,3
1980,Spain,ONWAAR,ONWAAR,Explosion,Private property,Spain,Unknown,Bombs,0,1980-03-26,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Army (IRA),Firearms,2,1971-10-15,10
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Unknown,Bombs,1,1980-03-28,3
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Red Brigades,Incendiary,0,1980-03-29,3
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Red Brigades,Incendiary,0,1980-03-29,3
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Red Brigades,Incendiary,0,1980-03-29,3
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Red Brigades,Incendiary,0,1980-03-29,3
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Red Brigades,Incendiary,0,1980-03-29,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-10-15,10
1980,Spain,ONWAAR,ONWAAR,Explosion,Government,Spain,Basque Fatherland and Freedom (ETA),Bombs,0,1980-03-29,3
1980,France,WAAR,ONWAAR,Explosion,Government,France,Action Directe,Bombs,0,1980-03-29,3
1980,Italy,WAAR,ONWAAR,Kidnapping,Government,Italy,Red Brigades,Firearms,,1980-03-30,3
1980,Spain,WAAR,ONWAAR,Armed Assault,Government,Spain,Basque Fatherland and Freedom (ETA),Incendiary,0,1980-03-31,3
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-10-16,10
1980,Cyprus,ONWAAR,ONWAAR,Explosion,Government,Great Britain,National Organization of Cypriot Fighters (EOKA),Bombs,3,1980-04-01,4
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-10-17,10
1980,France,WAAR,ONWAAR,Explosion,Public services,Iraq,Unknown,Bombs,0,1980-04-01,4
1980,Italy,WAAR,ONWAAR,Armed Assault,Government,Italy,Red Brigades,Firearms,,1980-04-01,4
1980,United Kingdom,WAAR,ONWAAR,Armed Assault,Private property,Northern Ireland,Ulster Volunteer Force (UVF),Firearms,1,1980-04-02,4
1980,France,WAAR,ONWAAR,Armed Assault,Government,Soviet Union,Group Yuri Choukewitch,Incendiary,0,1980-04-03,4
1980,Italy,WAAR,ONWAAR,Explosion,Government,Italy,Communist Patrols for Counter Power,Bombs,0,1980-04-04,4
1980,United Kingdom,WAAR,ONWAAR,Explosion,Government,Northern Ireland,Irish National Liberation Army (INLA),Bombs,0,1980-04-04,4
1980,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1980-04-04,4
1980,Italy,WAAR,ONWAAR,Explosion,Government,Italy,Communist Patrols for Counter Power,Bombs,0,1980-04-04,4
1980,France,WAAR,ONWAAR,Unknown,Private property,France,Action Directe,Unknown,0,1980-04-04,4
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-10-23,10
