iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
2014,Ukraine,WAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,0,2014-12-24,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Luhansk People's Republic,Bombs,0,2014-12-24,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-12-24,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-12-24,12
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,0,2014-12-24,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-12-24,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-12-25,12
2014,Kosovo,ONWAAR,ONWAAR,Explosion,Hate crimes,Kosovo,Unknown,Bombs,0,2014-12-26,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-12-26,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,1,2014-12-27,12
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Bombs,0,2014-12-27,12
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Bombs,0,2014-12-27,12
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Bombs,0,2014-12-27,12
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Bombs,0,2014-12-27,12
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Bombs,0,2014-12-27,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-12-28,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,0,2014-12-28,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,0,2014-12-28,12
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-12-31,12
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,1,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2015-01-01,1
